_id,page,tabbedOutCount,textBox_subscription-right,textBox_notepad,textBox_calculator-input,queryCount,timeSpent,age,gender,occupation,location,education,taskTimeSufficient,instructionsClear,taskDifficulty,toolsEffective,productivityImproved,attentionCheck,aiToolUsage,AIsentiment,_id,createdAt,llmQueryResponses,searchQueries
6672cab51b0d8247caf60d5b,retrieval_control.html,1,2,22,2+2,1.0,7,2,male,2,2,no_education,1,3,4,4,4,5,5,,6672cab51b0d8247caf60d5b,2024-06-19T12:10:29.236Z,,{'panda': 'https://www.pandaexpress.com/ '}
6672cacd1b0d8247caf60d65,retrieval_control.html,1,2,2,4+4,1.0,10,2,male,3,3,no_education,2,1,3,2,2,2,2,,6672cacd1b0d8247caf60d65,2024-06-19T12:10:53.557Z,,{'hello': 'https://www.youtube.com/watch?v=YQHsXMglC9A '}
6672cb271b0d8247caf60d7f,retrieval_control.html,1,2,2,,2.0,61,3,male,§,§,no_education,2,2,2,2,2,2,2,,6672cb271b0d8247caf60d7f,2024-06-19T12:12:23.678Z,,"{'weuvbkJBV d': '', 'weuvbkJBVd': '', 'hello': '', 'what?': 'https://web.whatsapp.com/ '}"
6672ccbaeb998261c07a2102,retrieval_control.html,2,4,,,1.0,24,2,male,2,2,no_education,3,2,3,1,3,2,2,,6672ccbaeb998261c07a2102,2024-06-19T12:19:06.336Z,,"{' weuvbkJBV d': '', 'panda': 'https://www.pandaexpress.com/ '}"
6672cfd00b692ffebd7db45d,retrieval_control.html,1,6667,23535,235235*6435345+6666-4,1.0,15,245245,male,4224,42,no_education,2,2,2,2,2,2,2,,6672cfd00b692ffebd7db45d,2024-06-19T12:32:16.342Z,,{'upb': 'https://www.upb.pitt.edu/ '}
66742ac8a1f23a8340a6e79a,retrieval_control.html,0,2,2,,0.0,1,3,male,3,3,primary_education,2,2,2,2,2,2,2,,66742ac8a1f23a8340a6e79a,2024-06-20T13:12:40.441Z,,
6672ca911b0d8247caf60d53,retrieval_experimental.html,0,2,2,2+2,1.0,7,2,male,2,2,no_education,1,1,1,1,1,1,1,,6672ca911b0d8247caf60d53,2024-06-19T12:09:53.363Z,{'hello': 'Hello! How can I assist you today?'},
6672cceaeb998261c07a2114,retrieval_experimental.html,0,55,tetx,23546+324324,1.0,11,2,male,2,2,no_education,2,1,4,2,2,1,2,,6672cceaeb998261c07a2114,2024-06-19T12:19:54.128Z,{'2+2': '4'},
66742ae3a1f23a8340a6e7bc,retrieval_experimental.html,0,3,,,0.0,1,3,female,3,3,no_education,1,1,1,1,1,1,1,,66742ae3a1f23a8340a6e7bc,2024-06-20T13:13:07.862Z,,
66742ea69b5bffd318e7f90d,retrieval_experimental.html,0,2,,,0.0,0,2,male,2,2,secondary_education,3,3,3,3,3,3,3,,66742ea69b5bffd318e7f90d,2024-06-20T13:29:10.415Z,,
